match_date,Cartografia#br1,Tralhoto#Fish,eyeless#aespa,match_url
2026-09-12,Rumble,Katarina,Nasus,https://www.leagueofgraphs.com/match/br/3282295642
2026-09-11,Vayne,Sylas,Galio,https://www.leagueofgraphs.com/match/br/3282132259
2026-09-11,Ashe,Gragas,Graves,https://www.leagueofgraphs.com/match/br/3282089091
2026-09-01,Belveth,Viego,Maokai,https://www.leagueofgraphs.com/match/br/3278398647
2026-08-28,Taric,Zeri,Blitzcrank,https://www.leagueofgraphs.com/match/br/3277037822
2026-08-25,Twitch,Thresh,Udyr,https://www.leagueofgraphs.com/match/br/3276165629
2026-08-25,Locke,Illaoi,Ivern,https://www.leagueofgraphs.com/match/br/3276128300
2026-08-25,Senna,Lux,Rakan,https://www.leagueofgraphs.com/match/br/3276079547
2026-08-24,Tristana,Kennen,Singed,https://www.leagueofgraphs.com/match/br/3275811136
2026-08-21,Shaco,Ambessa,Shen,https://www.leagueofgraphs.com/match/br/3274799698
2026-08-21,Ziggs,Jhin,Alistar,https://www.leagueofgraphs.com/match/br/3274783477
2026-08-21,Yorick,Brand,Gwen,https://www.leagueofgraphs.com/match/br/3274730462
2026-08-19,Ryze,Amumu,Orianna,
2026-08-13,LeeSin,Karthus,Shyvana,https://www.leagueofgraphs.com/match/br/3272153336
2026-08-13,Sona,Fizz,Talon,https://www.leagueofgraphs.com/match/br/3272133374
2026-08-13,Kindred,AurelionSol,TahmKench,https://www.leagueofgraphs.com/match/br/3272125283
2026-08-08,Brand,Corki,Ornn,https://www.leagueofgraphs.com/match/br/3270489324
2026-08-08,Fizz,Chogath,Sion,https://www.leagueofgraphs.com/match/br/3270469181
2026-08-08,Braum,Zaahen,Kayn,https://www.leagueofgraphs.com/match/br/3270382867
