"Data","Partida","Cartografia#br1 campeão","Cartografia#br1 classe","Cartografia#br1 perfil convencional","Tralhoto#Fish campeão","Tralhoto#Fish classe","Tralhoto#Fish perfil convencional","eyeless#aespa campeão","eyeless#aespa classe","eyeless#aespa perfil convencional"
"2026-09-12","https://www.leagueofgraphs.com/match/br/3282295642","Rumble","Lutador","AP","Katarina","Assassino","Híbrido","Nasus","Lutador","AD"
"2026-09-11","https://www.leagueofgraphs.com/match/br/3282132259","Vayne","Atirador","AD","Sylas","Mago","AP","Galio","Tanque","AP"
"2026-09-11","https://www.leagueofgraphs.com/match/br/3282089091","Ashe","Atirador","AD","Gragas","Lutador","AP","Graves","Atirador","AD"
"2026-09-01","https://www.leagueofgraphs.com/match/br/3278398647","Bel'Veth","Lutador","AD","Viego","Lutador","AD","Maokai","Tanque","AP"
"2026-08-28","https://www.leagueofgraphs.com/match/br/3277037822","Taric","Suporte","Híbrido","Zeri","Atirador","AD","Blitzcrank","Tanque","AP"
"2026-08-25","https://www.leagueofgraphs.com/match/br/3276165629","Twitch","Atirador","AD","Thresh","Suporte","Híbrido","Udyr","Lutador","Híbrido"
"2026-08-25","https://www.leagueofgraphs.com/match/br/3276128300","Locke","Assassino","Não definido","Illaoi","Lutador","AD","Ivern","Suporte","AP"
"2026-08-25","https://www.leagueofgraphs.com/match/br/3276079547","Senna","Suporte","AD","Lux","Mago","AP","Rakan","Suporte","AP"
"2026-08-24","https://www.leagueofgraphs.com/match/br/3275811136","Tristana","Atirador","AD","Kennen","Mago","AP","Singed","Tanque","AP"
"2026-08-21","https://www.leagueofgraphs.com/match/br/3274799698","Shaco","Assassino","Híbrido","Ambessa","Lutador","AD","Shen","Tanque","Híbrido"
"2026-08-21","https://www.leagueofgraphs.com/match/br/3274783477","Ziggs","Mago","AP","Jhin","Atirador","AD","Alistar","Tanque","AP"
"2026-08-21","https://www.leagueofgraphs.com/match/br/3274730462","Yorick","Lutador","AD","Brand","Mago","AP","Gwen","Lutador","AP"
"2026-08-19","","Ryze","Mago","AP","Amumu","Tanque","AP","Orianna","Mago","AP"
"2026-08-13","https://www.leagueofgraphs.com/match/br/3272153336","Lee Sin","Lutador","AD","Karthus","Mago","AP","Shyvana","Lutador","Híbrido"
"2026-08-13","https://www.leagueofgraphs.com/match/br/3272133374","Sona","Suporte","AP","Fizz","Assassino","AP","Talon","Assassino","AD"
"2026-08-13","https://www.leagueofgraphs.com/match/br/3272125283","Kindred","Atirador","AD","Aurelion Sol","Mago","AP","Tahm Kench","Tanque","AP"
"2026-08-08","https://www.leagueofgraphs.com/match/br/3270489324","Brand","Mago","AP","Corki","Atirador","AD","Ornn","Tanque","Híbrido"
"2026-08-08","https://www.leagueofgraphs.com/match/br/3270469181","Fizz","Assassino","AP","Cho'Gath","Tanque","AP","Sion","Tanque","AD"
"2026-08-08","https://www.leagueofgraphs.com/match/br/3270382867","Braum","Tanque","Híbrido","Zaahen","Lutador","AD","Kayn","Lutador","AD"
