"Métrica","Jogador ou ordem","Categoria","Vitórias","Total de partidas","Percentual"
"Classe","Cartografia#br1","Lutador","4","19","21,1%"
"Classe","Cartografia#br1","Atirador","5","19","26,3%"
"Classe","Cartografia#br1","Suporte","3","19","15,8%"
"Classe","Cartografia#br1","Assassino","3","19","15,8%"
"Classe","Cartografia#br1","Mago","3","19","15,8%"
"Classe","Cartografia#br1","Tanque","1","19","5,3%"
"Perfil convencional","Cartografia#br1","AP","6","19","31,6%"
"Perfil convencional","Cartografia#br1","AD","9","19","47,4%"
"Perfil convencional","Cartografia#br1","Híbrido","3","19","15,8%"
"Perfil convencional","Cartografia#br1","Não definido","1","19","5,3%"
"Classe","Tralhoto#Fish","Assassino","2","19","10,5%"
"Classe","Tralhoto#Fish","Mago","6","19","31,6%"
"Classe","Tralhoto#Fish","Lutador","5","19","26,3%"
"Classe","Tralhoto#Fish","Atirador","3","19","15,8%"
"Classe","Tralhoto#Fish","Suporte","1","19","5,3%"
"Classe","Tralhoto#Fish","Tanque","2","19","10,5%"
"Perfil convencional","Tralhoto#Fish","Híbrido","2","19","10,5%"
"Perfil convencional","Tralhoto#Fish","AP","10","19","52,6%"
"Perfil convencional","Tralhoto#Fish","AD","7","19","36,8%"
"Classe","eyeless#aespa","Lutador","5","19","26,3%"
"Classe","eyeless#aespa","Tanque","9","19","47,4%"
"Classe","eyeless#aespa","Atirador","1","19","5,3%"
"Classe","eyeless#aespa","Suporte","2","19","10,5%"
"Classe","eyeless#aespa","Mago","1","19","5,3%"
"Classe","eyeless#aespa","Assassino","1","19","5,3%"
"Perfil convencional","eyeless#aespa","AD","5","19","26,3%"
"Perfil convencional","eyeless#aespa","AP","10","19","52,6%"
"Perfil convencional","eyeless#aespa","Híbrido","4","19","21,1%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Atirador | Mago | Tanque","3","19","15,8%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Lutador | Mago | Lutador","2","19","10,5%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Mago | Atirador | Tanque","2","19","10,5%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Assassino | Lutador | Suporte","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Assassino | Lutador | Tanque","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Assassino | Tanque | Tanque","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Atirador | Lutador | Atirador","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Atirador | Suporte | Lutador","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Lutador | Assassino | Lutador","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Lutador | Lutador | Tanque","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Mago | Tanque | Mago","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Suporte | Assassino | Assassino","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Suporte | Atirador | Tanque","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Suporte | Mago | Suporte","1","19","5,3%"
"Composição de classes","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Tanque | Lutador | Lutador","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AD | AP | AP","5","19","26,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AP | AP | AD","2","19","10,5%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AD | AD | AP","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AD | AP | AD","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AD | AP | Híbrido","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AD | Híbrido | Híbrido","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AP | AD | AP","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AP | AD | Híbrido","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AP | AP | AP","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","AP | Híbrido | AD","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Híbrido | AD | AD","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Híbrido | AD | AP","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Híbrido | AD | Híbrido","1","19","5,3%"
"Composição de perfis","Cartografia#br1 | Tralhoto#Fish | eyeless#aespa","Não definido | AD | AP","1","19","5,3%"
